Sample Site,Coliform (Quanti-Tray) (MPN /100mL),X coordinate,Y coordinate
13550,>200.5,1008924,250942
1SCH3,>200.5,1013921,259223
40200,>200.5,1012206,222705
40650,>200.5,1018876,216530
50300,>200.5,955759,163383
13600,200.5,1016282,247551
1S03,200.5,1024950,264277
1S03A,200.5,1024721,264392
1S03B,200.5,1014949,260688
1S07,200.5,1004013,245233
1SCH4,200.5,1013921,259223
20850,200.5,997523,200731
21900,200.5,999127,183310
24050,200.5,998224,154096
24250,200.5,989290,165338
24650,200.5,1009614,177814
25400,200.5,996612,186417
27000,200.5,996850,197261
28550,200.5,991951,149887
29350,200.5,984246,179280
30550,200.5,982568,196479
32850,200.5,990374,211810
35650,200.5,986871,210227
36350,200.5,1000097,229237
39800,200.5,989480,224221
39950,200.5,990776,227477
3SC26,200.5,1003134,247853
40200,200.5,1012206,222705
41650,200.5,1026792,202666
42950,200.5,1046079,204823
44700,200.5,1040470,205827
45000,200.5,1056313,213038
46100,200.5,1055532,160561
47750,200.5,1062706,209940
50300,200.5,955759,163383
1S03B,165.2,1014949,260688
20050,165.2,1008686,163991
20650,165.2,983827,157189
36950,165.2,999939,219046
50300,165.2,955759,163383
1S03A,144.5,1024721,264392
1SCH3,144.5,1013921,259223
23150,144.5,992883,164317
29850,144.5,1017420,174983
32650,144.5,986146,208516
41900,144.5,1040557,209716
1S03B,129.8,1014949,260688
27600,129.8,1006714,191168
13550,118.4,1008924,250942
46850,101.3,1012186,200020
11250,88.5,1016434,245999
1S07,83.1,1004013,245233
1SCL1,73.8,1013921,259223
10250,69.7,1005082,244866
27000,69.7,996850,197261
14850,65.9,1008919,233877
26750,65.9,997012,182764
1S03B,59.1,1014949,260688
1S03B,50.4,1014949,260688
50300,47.8,955759,163383
46450,45.3,1035671,218150
47500,45.3,1033971,157361
28550,42.9,991951,149887
50300,40.6,955759,163383
18100,36.4,1025309,244013
40200,36.4,1012206,222705
40450,36.4,1003047,209194
27000,34.4,996850,197261
40200,34.4,1012206,222705
27000,30.6,996850,197261
35100,30.6,993736,227094
15150,28.8,1008300,245099
41600,28.8,1021543,205810
35100,27.1,993736,227094
50300,27.1,955759,163383
44550,25.4,1041759,224449
15150,20.7,1008300,245099
1SCH3,20.7,1013921,259223
41350,20.7,1009308,196373
43900,20.7,1048519,218452
16150,19.2,1022864,248301
38250,19.2,997994,222826
1SCH3,17.8,1013921,259223
20050,17.8,1008686,163991
20300,17.8,983104,186572
27000,17.8,996850,197261
47550,17.8,1032730,151392
50300,17.8,955759,163383
1S03A,16.4,1024721,264392
1S07,16.4,1004013,245233
25450,16.4,999921,184474
35650,16.4,986871,210227
24850,15,1017701,182613
44750,15,1036698,206954
