,Sample Site,Coliform (Quanti-Tray) (MPN /100mL),X coordinate,Y coordinate,lon,lat
0,13550,>200.5,1008924,250942,-73.91080633530339,40.85541772345902
1,1SCH3,>200.5,1013921,259223,-73.89270615348444,40.87813116759797
2,40200,>200.5,1012206,222705,-73.89905998407974,40.777905192916165
3,40650,>200.5,1018876,216530,-73.87500870356389,40.76093277024723
4,50300,>200.5,955759,163383,-74.10262084105352,40.61507898360471
5,13600,200.5,1016282,247551,-73.88422432976782,40.84608675433974
6,1S03,200.5,1024950,264277,-73.85279343189916,40.891958784633715
7,1S03A,200.5,1024721,264392,-73.85362099654378,40.8922754779492
8,1S03B,200.5,1014949,260688,-73.88898208153478,40.88214861955045
9,1S07,200.5,1004013,245233,-73.92857580153655,40.83976056220037
10,1SCH4,200.5,1013921,259223,-73.89270615348444,40.87813116759797
11,20850,200.5,997523,200731,-73.95211879535317,40.717626406961955
12,21900,200.5,999127,183310,-73.9463711000251,40.66980732412905
13,24050,200.5,998224,154096,-73.94968689691336,40.589622688259155
14,24250,200.5,989290,165338,-73.981845189623,40.62048927847855
15,24650,200.5,1009614,177814,-73.90858814122045,40.65469815187235
16,25400,200.5,996612,186417,-73.95543148864365,40.67833920887779
17,27000,200.5,996850,197261,-73.95455308838825,40.70810308861582
18,28550,200.5,991951,149887,-73.97227757285899,40.57807755928852
19,29350,200.5,984246,179280,-74.00001435748375,40.658758477837004
20,30550,200.5,982568,196479,-74.00606641983953,40.70596557740837
21,32850,200.5,990374,211810,-73.97789793565806,40.74804335353244
22,35650,200.5,986871,210227,-73.99054104694105,40.7437001701954
23,36350,200.5,1000097,229237,-73.94276608989468,40.795863875541315
24,39800,200.5,989480,224221,-73.98111475814716,40.782108983613504
25,39950,200.5,990776,227477,-73.97643187848973,40.79104498431266
26,3SC26,200.5,1003134,247853,-73.93174514575891,40.84695363516851
27,40200,200.5,1012206,222705,-73.89905998407974,40.777905192916165
28,41650,200.5,1026792,202666,-73.84652174450272,40.72284503324427
29,42950,200.5,1046079,204823,-73.77692079766419,40.72865158427268
30,44700,200.5,1040470,205827,-73.79714959741555,40.73144476298565
31,45000,200.5,1056313,213038,-73.73990867365063,40.75112212511442
32,46100,200.5,1055532,160561,-73.74328263588063,40.60709167575559
33,47750,200.5,1062706,209940,-73.71687114883835,40.74256452588509
34,50300,200.5,955759,163383,-74.10262084105352,40.61507898360471
35,1S03B,165.2,1014949,260688,-73.88898208153478,40.88214861955045
36,20050,165.2,1008686,163991,-73.91198277330348,40.61675964687212
37,20650,165.2,983827,157189,-74.00152328857548,40.59812345097804
38,36950,165.2,999939,219046,-73.94336053364435,40.76789251719868
39,50300,165.2,955759,163383,-74.10262084105352,40.61507898360471
40,1S03A,144.5,1024721,264392,-73.85362099654378,40.8922754779492
41,1SCH3,144.5,1013921,259223,-73.89270615348444,40.87813116759797
42,23150,144.5,992883,164317,-73.96890397253107,40.61768405279928
43,29850,144.5,1017420,174983,-73.88046929690879,40.646901840147656
44,32650,144.5,986146,208516,-73.9931579272858,40.739004098551675
45,41900,144.5,1040557,209716,-73.79680312954567,40.742118517273056
46,1S03B,129.8,1014949,260688,-73.88898208153478,40.88214861955045
47,27600,129.8,1006714,191168,-73.91899515706783,40.691359664120746
48,13550,118.4,1008924,250942,-73.91080633530339,40.85541772345902
49,46850,101.3,1012186,200020,-73.89922649508249,40.71564066572817
50,11250,88.5,1016434,245999,-73.88368239741574,40.8418264118332
51,1S07,83.1,1004013,245233,-73.92857580153655,40.83976056220037
52,1SCL1,73.8,1013921,259223,-73.89270615348444,40.87813116759797
53,10250,69.7,1005082,244866,-73.92471355391967,40.83875078961028
54,27000,69.7,996850,197261,-73.95455308838825,40.70810308861582
55,14850,65.9,1008919,233877,-73.91088718210777,40.80857915547174
56,26750,65.9,997012,182764,-73.95399631633366,40.66831199275969
57,1S03B,59.1,1014949,260688,-73.88898208153478,40.88214861955045
58,1S03B,50.4,1014949,260688,-73.88898208153478,40.88214861955045
59,50300,47.8,955759,163383,-74.10262084105352,40.61507898360471
60,46450,45.3,1035671,218150,-73.81437079827653,40.76529745088887
61,47500,45.3,1033971,157361,-73.82095647031235,40.59845571006174
62,28550,42.9,991951,149887,-73.97227757285899,40.57807755928852
63,50300,40.6,955759,163383,-74.10262084105352,40.61507898360471
64,18100,36.4,1025309,244013,-73.8516191645627,40.83633856498724
65,40200,36.4,1012206,222705,-73.89905998407974,40.777905192916165
66,40450,36.4,1003047,209194,-73.9321678459097,40.7408451923384
67,27000,34.4,996850,197261,-73.95455308838825,40.70810308861582
68,40200,34.4,1012206,222705,-73.89905998407974,40.777905192916165
69,27000,30.6,996850,197261,-73.95455308838825,40.70810308861582
70,35100,30.6,993736,227094,-73.9657427457233,40.78999105500634
71,15150,28.8,1008300,245099,-73.91308297829433,40.83938211323741
72,41600,28.8,1021543,205810,-73.86544100391384,40.73149823777537
73,35100,27.1,993736,227094,-73.9657427457233,40.78999105500634
74,50300,27.1,955759,163383,-74.10262084105352,40.61507898360471
75,44550,25.4,1041759,224449,-73.7923393798309,40.782548998624996
76,15150,20.7,1008300,245099,-73.91308297829433,40.83938211323741
77,1SCH3,20.7,1013921,259223,-73.89270615348444,40.87813116759797
78,41350,20.7,1009308,196373,-73.90962186463351,40.70563916960939
79,43900,20.7,1048519,218452,-73.76798704660125,40.76604224097372
80,16150,19.2,1022864,248301,-73.86043028503396,40.84811891853015
81,38250,19.2,997994,222826,-73.95037448441799,40.77827089370168
82,1SCH3,17.8,1013921,259223,-73.89270615348444,40.87813116759797
83,20050,17.8,1008686,163991,-73.91198277330348,40.61675964687212
84,20300,17.8,983104,186572,-74.00413157058901,40.678773284980835
85,27000,17.8,996850,197261,-73.95455308838825,40.70810308861582
86,47550,17.8,1032730,151392,-73.82546810141864,40.58207893038594
87,50300,17.8,955759,163383,-74.10262084105352,40.61507898360471
88,1S03A,16.4,1024721,264392,-73.85362099654378,40.8922754779492
89,1S07,16.4,1004013,245233,-73.92857580153655,40.83976056220037
90,25450,16.4,999921,184474,-73.94350616620416,40.67300086301044
91,35650,16.4,986871,210227,-73.99054104694105,40.7437001701954
92,24850,15,1017701,182613,-73.87941881223323,40.66784341215478
93,44750,15,1036698,206954,-73.81075070526855,40.73456127916291
94,25950,13.7,1003601,164002,-73.93029865236225,40.616802441343616
95,31350,13.7,982777,206084,-74.00531464139114,40.73232897620002
96,34350,13.7,988136,213267,-73.9859741315169,40.75204372727343
97,47150,13.7,1033893,228531,-73.82071260667132,40.79380070524039
98,11150,12.4,1011330,251963,-73.90210483094874,40.858213001148926
99,21350,12.4,1009575,189833,-73.90868348384836,40.6876876635578
100,26700,12.4,994175,185107,-73.96421947867475,40.67474664296758
101,39400,12.4,989043,220395,-73.98269544770065,40.77160784796929
102,3SC26,12.4,1003134,247853,-73.93174514575891,40.84695363516851
103,45000,12.4,1056313,213038,-73.73990867365063,40.75112212511442
104,1S03B,11.1,1014949,260688,-73.88898208153478,40.88214861955045
105,34200,11.1,993173,228471,-73.9677740884745,40.79377114546617
106,45250,11.1,1043088,156447,-73.78813454699933,40.59589106580701
107,1SCH3,9.9,1013921,259223,-73.89270615348444,40.87813116759797
108,31550,9.9,983716,209861,-74.00192681744367,40.742695982697526
109,47500,9.9,1033971,157361,-73.82095647031235,40.59845571006174
110,49200,9.9,1033124,205328,-73.82365861323345,40.73011880808579
111,50200,9.9,960455,169298,-74.08572727911978,40.63132824327583
112,27000,8.7,996850,197261,-73.95455308838825,40.70810308861582
